f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
2.110,1.821,1.859,1.550,1.289,0.970,1.726,2.679,2.435,1.757,2.203,2.894,2.334,1.705,1.404,1.024,1.257,1.001,2.280,-3.294,3.254,2.574,2.269,1.861,1.450,4.009,2.289,145.466,0.963,2.097,2.177,1.336,1.553,1.486,4.000,-0.348,3.496,NoTouching
2.175,1.677,1.398,0.978,1.599,2.299,2.333,1.589,2.342,2.093,1.836,2.331,2.268,1.873,1.249,0.941,1.935,2.452,2.035,1.778,2.895,2.229,2.094,3.800,1.723,2.913,2.998,145.447,0.963,1.960,2.035,1.569,1.493,1.331,4.000,-0.611,3.487,NoTouching
1.542,1.093,1.032,1.935,2.122,1.661,1.474,2.602,2.473,1.525,1.976,1.985,1.464,0.955,0.825,1.646,2.071,1.674,1.127,1.488,1.807,3.564,2.862,2.051,2.648,2.356,2.240,128.171,0.849,1.925,2.268,1.448,1.452,1.304,4.000,-0.443,4.179,NoTouching
0.963,0.702,1.539,1.501,1.211,1.270,2.709,1.921,1.615,1.598,1.339,0.690,0.535,1.576,2.549,2.038,1.429,1.981,2.897,1.565,3.386,2.741,1.688,2.156,1.995,2.019,4.328,126.864,0.869,1.979,2.277,1.364,1.442,1.353,3.000,-0.274,3.628,NoTouching
2.031,2.198,1.748,1.295,1.461,1.941,1.632,1.689,1.408,1.033,1.416,0.969,1.881,2.119,1.387,0.692,1.391,1.805,1.629,1.651,2.177,3.010,2.683,2.445,4.647,4.611,2.850,287.047,1.864,1.829,0.981,1.901,1.214,1.214,3.000,-0.569,4.233,NoTouching
2.155,1.793,1.538,1.418,1.231,1.040,0.928,1.258,2.230,2.741,1.214,1.236,2.060,2.004,1.635,1.854,1.642,1.150,1.056,0.941,5.846,3.551,2.241,2.084,2.002,1.125,4.082,214.835,1.404,2.136,1.521,1.562,1.450,1.441,3.000,-0.258,3.850,NoTouching
1.564,1.814,1.902,1.415,0.631,1.102,1.704,2.030,1.767,1.688,2.636,2.420,1.790,2.139,2.401,2.252,1.696,1.215,1.268,1.935,2.897,2.517,2.662,1.823,2.345,3.879,1.711,132.701,0.856,2.201,2.570,1.448,1.598,1.473,4.000,-0.539,4.155,NoTouching
1.445,1.215,1.093,0.939,1.077,2.013,2.010,1.089,1.301,2.077,1.422,1.675,1.690,1.548,1.365,0.881,1.085,2.363,2.763,2.067,2.256,1.924,1.325,3.775,1.640,2.600,2.892,146.629,0.952,2.014,2.115,1.511,1.505,1.352,4.000,-0.630,3.584,NoTouching
1.077,0.972,2.497,2.794,1.591,0.544,1.954,2.477,1.618,1.553,1.268,0.990,1.345,0.928,2.277,2.579,1.586,1.045,1.982,2.088,3.592,2.222,2.847,3.571,2.573,1.925,4.885,193.741,1.266,2.098,1.657,1.626,1.515,1.417,3.000,-0.501,3.377,NoTouching
1.883,1.748,0.966,1.433,2.340,1.652,1.411,1.416,1.099,1.054,0.889,1.152,2.117,2.006,1.107,1.459,2.142,1.665,1.426,1.324,2.554,2.438,1.763,2.571,6.272,3.113,2.167,268.736,1.734,1.996,1.151,1.702,1.175,1.174,2.000,0.514,6.922,NoTouching
-0.037,-0.075,-0.065,-0.065,-0.008,-0.092,-0.135,-0.040,-0.089,-0.184,-0.087,-0.064,-0.147,-0.131,-0.117,-0.110,-0.102,-0.124,-0.107,-0.104,0.939,0.948,0.964,0.966,1.037,0.999,1.081,18.885,0.123,0.215,1.755,0.158,0.171,0.169,3.000,-0.448,2.409,NoTouching
-0.169,-0.164,-0.144,-0.160,-0.161,-0.080,0.000,-0.060,-0.106,-0.128,-0.154,-0.205,-0.147,0.009,-0.045,-0.249,-0.175,-0.058,-0.001,-0.105,0.959,0.990,0.993,0.998,1.009,1.009,1.009,40.380,0.262,0.082,0.314,0.274,0.066,0.066,0.000,-0.471,2.823,NoTouching
-0.143,-0.103,-0.097,-0.069,-0.120,-0.118,-0.140,-0.141,-0.128,-0.131,-0.155,-0.169,-0.106,-0.111,-0.129,-0.175,-0.145,-0.128,-0.140,-0.094,1.001,1.024,0.978,0.940,0.983,0.995,1.031,42.207,0.276,0.073,0.266,0.278,0.058,0.058,0.000,-0.282,2.704,NoTouching
-0.132,-0.146,-0.145,-0.150,-0.132,-0.143,-0.123,-0.095,-0.088,-0.139,-0.128,-0.097,-0.164,-0.088,0.008,-0.003,-0.111,-0.102,0.028,-0.036,1.000,1.000,0.993,0.990,0.998,1.010,0.987,31.857,0.207,0.119,0.575,0.225,0.099,0.098,6.000,-0.164,2.802,NoTouching
-0.022,-0.064,-0.131,-0.135,-0.106,-0.157,-0.140,-0.128,-0.130,-0.142,-0.145,-0.134,-0.128,-0.116,-0.108,-0.150,-0.136,-0.126,-0.139,-0.143,0.907,1.053,0.963,0.980,1.007,0.987,0.974,35.658,0.233,0.048,0.205,0.230,0.037,0.036,0.000,0.133,3.956,NoTouching
-0.136,-0.138,-0.150,-0.133,-0.157,-0.150,-0.141,0.018,-0.014,-0.106,-0.226,-0.207,-0.098,-0.120,-0.135,-0.137,-0.113,-0.136,-0.130,-0.195,0.986,0.989,0.995,1.009,1.034,0.968,0.950,35.435,0.232,0.120,0.518,0.243,0.082,0.082,8.000,-1.125,5.749,NoTouching
-0.150,-0.103,-0.052,-0.116,-0.114,-0.169,-0.153,-0.132,-0.134,-0.146,-0.140,-0.159,-0.139,-0.114,-0.142,-0.138,-0.159,-0.150,-0.138,-0.150,1.012,0.977,0.983,0.968,0.997,0.968,1.011,42.440,0.277,0.051,0.182,0.279,0.041,0.041,0.000,-0.234,3.038,NoTouching
-0.154,-0.196,-0.102,-0.121,-0.138,-0.132,-0.149,-0.114,-0.123,-0.155,-0.164,-0.136,-0.015,-0.123,-0.114,-0.100,-0.161,-0.253,-0.162,0.246,1.002,1.000,1.001,0.948,1.004,0.999,1.001,34.891,0.230,0.065,0.281,0.237,0.051,0.050,0.000,0.188,3.921,NoTouching
-0.159,-0.149,-0.150,-0.148,-0.221,-0.045,-0.045,-0.091,-0.152,-0.144,-0.126,-0.135,-0.164,-0.160,-0.146,-0.169,-0.146,-0.124,-0.038,-0.025,0.991,0.986,0.992,0.995,1.039,0.986,0.903,36.559,0.237,0.067,0.284,0.246,0.054,0.054,0.000,0.125,4.342,NoTouching
-0.128,-0.143,-0.138,-0.141,-0.138,-0.142,-0.162,-0.146,-0.140,-0.158,-0.157,-0.157,-0.152,-0.159,-0.143,-0.136,-0.147,-0.128,-0.136,-0.075,0.980,0.998,0.987,0.986,0.987,0.999,0.987,45.824,0.298,0.035,0.116,0.298,0.026,0.026,0.000,0.441,4.066,NoTouching
-0.319,-0.262,-0.240,-0.295,-0.385,-0.489,-0.484,-0.417,-0.396,-0.439,-0.516,-0.589,-0.657,-0.678,-0.691,-0.736,-0.753,-0.745,-0.777,1.069,0.961,0.933,0.814,0.865,1.011,1.191,1.126,119.858,0.794,0.137,0.172,0.814,0.116,0.115,0.000,0.242,2.146,NoTouching
-0.510,-0.570,-0.592,-0.579,-0.668,-0.784,-0.665,-0.499,-0.328,-0.486,-0.603,-0.607,-0.570,-0.490,-0.396,-0.480,-0.528,-0.505,-0.483,0.870,0.802,0.760,0.732,0.939,1.258,1.194,0.833,111.257,0.732,0.249,0.340,0.775,0.216,0.215,0.000,-0.081,1.947,NoTouching
-0.614,-0.511,-0.386,-0.373,-0.606,-0.824,-0.752,-0.567,-0.378,-0.353,-0.525,-0.522,-0.435,-0.422,-0.415,-0.371,-0.326,-0.260,-0.304,1.173,0.847,0.561,0.515,0.699,1.034,1.504,1.198,95.702,0.630,0.312,0.495,0.638,0.273,0.272,0.000,-0.021,1.910,NoTouching
-0.288,-0.263,-0.285,-0.280,-0.236,-0.362,-0.493,-0.605,-0.570,-0.579,-0.554,-0.480,-0.365,-0.301,-0.332,-0.340,-0.329,-0.323,-0.344,-0.023,0.974,1.016,0.990,1.043,1.081,0.958,0.760,72.231,0.478,0.275,0.574,0.621,0.243,0.225,2.000,-0.538,2.163,NoTouching
-0.330,-0.392,-0.421,-0.512,-0.384,-0.492,-0.441,-0.325,-0.224,-0.273,-0.354,-0.299,-0.294,-0.290,-0.305,-0.340,-0.299,-0.213,-0.193,0.334,0.922,0.997,0.853,1.035,1.035,0.964,0.901,57.915,0.384,0.151,0.394,0.426,0.119,0.114,0.000,-0.591,2.889,NoTouching
-0.425,-0.350,-0.362,-0.382,-0.425,-0.351,-0.342,-0.385,-0.393,-0.406,-0.422,-0.401,-0.370,-0.387,-0.380,-0.354,-0.350,-0.352,-0.360,0.797,0.954,1.096,1.004,0.964,0.942,0.989,1.041,127.327,0.843,0.124,0.147,0.886,0.099,0.095,0.000,-0.455,3.559,NoTouching
-0.370,-0.328,-0.359,-0.342,-0.362,-0.353,-0.364,-0.370,-0.356,-0.350,-0.333,-0.263,-0.369,-0.398,-0.397,-0.186,-0.281,-0.275,-0.282,0.906,0.964,1.022,1.012,0.967,1.004,0.991,1.007,107.298,0.725,0.221,0.304,0.832,0.203,0.191,0.000,-0.451,1.540,NoTouching
-0.579,-0.543,-0.418,-0.546,-0.510,-0.490,-0.442,-0.447,-0.442,-0.408,-0.406,-0.410,-0.430,-0.416,-0.410,-0.373,-0.342,-0.328,-0.384,0.959,0.624,0.612,0.944,1.586,0.922,1.096,0.966,121.124,0.802,0.289,0.361,0.827,0.173,0.170,0.000,0.262,7.656,NoTouching
-0.162,-0.153,-0.188,-0.276,-0.299,-0.349,-0.273,-0.215,-0.218,-0.195,-0.202,-0.230,-0.214,-0.249,-0.277,-0.301,-0.315,-0.347,-0.328,0.359,1.015,1.030,1.016,0.953,0.935,0.933,0.963,47.863,0.317,0.126,0.398,0.344,0.096,0.091,0.000,-0.819,2.878,NoTouching
-0.255,-0.282,-0.273,-0.274,-0.285,-0.304,-0.300,-0.228,-0.265,-0.259,-0.269,-0.263,-0.262,-0.270,-0.283,-0.265,-0.261,-0.258,-0.283,0.448,0.975,0.976,0.984,1.008,0.997,0.958,0.926,82.169,0.544,0.071,0.131,0.554,0.050,0.049,0.000,-0.397,4.499,NoTouching
0.208,0.079,0.738,0.544,0.032,0.347,0.715,-0.141,0.415,0.775,-0.127,0.284,0.702,0.248,0.386,0.636,0.432,0.280,0.356,0.859,0.882,0.871,1.447,1.255,0.857,1.086,1.515,113.331,0.751,0.421,0.562,0.769,0.328,0.327,6.000,-0.518,3.924,NoTouching
0.813,0.256,-0.049,0.553,0.296,-0.003,0.485,0.497,-0.250,0.237,0.624,0.638,0.176,0.211,0.983,0.587,-0.168,0.438,0.775,0.767,1.515,0.987,0.532,1.544,1.060,0.771,1.512,105.627,0.700,0.387,0.553,0.751,0.290,0.287,6.000,-0.269,4.423,NoTouching
0.396,0.493,0.423,-0.160,0.113,0.893,0.405,-0.452,0.412,0.889,-0.051,-0.059,0.954,0.320,-0.020,0.362,0.571,0.415,0.326,0.108,0.969,1.163,1.205,0.895,1.076,1.403,1.080,90.361,0.598,0.328,0.548,0.581,0.243,0.242,4.000,0.376,4.599,NoTouching
-0.097,0.509,0.674,-0.230,0.112,0.869,0.212,-0.254,0.496,0.674,-0.215,0.232,0.857,0.310,-0.132,0.793,0.621,-0.295,0.153,1.014,0.895,1.267,1.348,0.758,0.860,1.786,0.904,111.362,0.737,0.268,0.363,0.697,0.220,0.219,0.000,0.514,3.062,NoTouching
0.366,-0.285,0.107,0.679,0.591,-0.497,0.193,0.928,0.100,-0.393,0.518,0.769,-0.303,0.158,0.830,0.103,-0.016,0.748,0.208,0.683,0.786,1.041,0.764,1.409,1.353,0.902,1.374,101.222,0.670,0.293,0.438,0.668,0.220,0.220,6.000,-0.384,4.002,NoTouching
-0.068,0.632,0.558,-0.220,0.144,0.792,0.432,-0.302,-0.021,0.857,0.404,-0.471,0.225,0.955,-0.077,-0.380,0.865,0.560,-0.459,0.797,1.056,1.474,1.196,1.236,1.143,1.481,0.875,97.959,0.653,0.341,0.523,0.665,0.274,0.273,6.000,0.196,3.357,NoTouching
-0.270,0.294,0.772,0.013,-0.015,0.623,0.393,-0.160,0.129,0.632,0.281,-0.097,0.245,0.692,0.221,0.326,0.790,0.569,0.160,0.840,0.811,1.005,1.611,0.731,0.950,1.604,1.232,107.871,0.714,0.511,0.715,0.762,0.367,0.365,8.000,-0.925,4.873,NoTouching
0.564,0.816,0.242,0.410,1.008,0.519,0.567,0.121,-0.016,0.007,0.022,0.382,0.791,-0.082,-0.323,0.670,0.202,-0.449,0.433,-0.735,0.915,1.511,0.766,1.108,1.710,0.983,0.756,68.604,0.451,0.760,1.684,0.596,0.612,0.597,11.000,-0.374,2.461,NoTouching
0.078,-0.207,0.579,0.503,-0.391,0.287,0.650,0.328,0.349,0.357,0.934,0.125,0.370,0.912,0.537,0.007,0.353,0.706,0.177,0.788,0.946,0.983,1.362,1.347,1.047,0.982,1.687,92.864,0.615,0.596,0.970,0.590,0.488,0.487,10.000,-0.098,2.771,NoTouching
0.164,0.129,-0.028,-0.087,-0.099,0.172,0.132,0.866,0.636,1.020,1.180,0.705,0.649,0.852,1.071,1.384,1.632,0.886,0.567,1.085,1.025,0.666,0.678,1.009,1.177,1.099,0.699,83.718,0.554,0.469,0.846,0.538,0.364,0.363,8.000,0.849,4.895,NoTouching
